resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section,rec_rev
DXME-KADX-KATO_KATOSA,"चौड़ी गेज प्लेटफार्म, लोड क्षमता 73 टन",Equipment,General,मशीन-च,190.51,190.51,190.51,190.51,1,INR,3104.71,16.2964,2608,2608,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",रेलवे और सड़क के लिए खुदाई और भराई,8719cfc76aa0
ME_MEKAKA_TOVO,कार्यकर्ता की श्रेणी 3,Labor,Labor,च,557.78,557.78,557.78,557.78,1,INR,157807.22,282.9182,2594,2594,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",खुदाई द्वारा मिट्टी का विकास,c59a42d39530
RI_MEKAKA_KASA,कार्यकर्ता 5 श्रेणी का,Labor,Labor,च,655.71,655.71,655.71,655.71,1,INR,96749.81,147.549,2550,2550,निर्माण कार्य,कुएं,कुएं की खुदाई,अन्य प्रकार की ड्रिलिंग,6405cea239cc
KAVO-ME-KARI-MEME_KAKAKAME,"वर्गाकार कच्चे माल से बने कास्टिंग, वजन 1.5-4.5 किलोग्राम",Material,General,ट,71437.87,71437.87,71437.87,71437.87,1,INR,20836.88,0.3771,2506,2506,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",गैस और तेल उत्पादों के लिए मुख्य और औद्योगिक पाइपलाइनों के लिए खाई खोदना और भरना,8557dafe7d5a
DXME-KASA-KANE_KAKALI,"कैटरपिलर क्रेन, लोडिंग क्षमता 25 टन",Equipment,General,मशीन-च,2054.18,2054.18,2054.18,2054.18,1,INR,53110.04,25.8546,2365,2365,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",गैस और तेल उत्पादों के लिए मुख्य और औद्योगिक पाइपलाइनों के लिए खाई खोदना और भरना,a720b7b0d91c
KAME-TO-KARI-KATO_KAKAKAME,गैस-एसिटिलीन तकनीकी,Material,General,घन मीटर,526.95,526.95,526.95,526.95,1,INR,9553.32,18.6248,2331,2331,निर्माण कार्य,ड्रिलिंग और विस्फोट कार्य,विस्फोटित क्षेत्रों का आवरण और सक्रिय रेलवे पटरियों पर ड्रिल-फटने वाले कार्यों क,विस्फोटक क्षेत्र की सुरक्षा के लिए आश्रय,6678e68f5903
RI_MEKAKA_KARI,कार्यकर्ता 2 श्रेणी,Labor,Labor,च,464.11,464.11,464.11,464.11,1,INR,18102.07,39.0037,2220,2220,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",जल संसाधन निर्माण में मिट्टी का विकास और जल निकासी की स्थापना,b81aa1fb0328
ME_MEKAKA_TOSA,कार्यकर्ता की श्रेणी 3,Labor,Labor,च,538.62,538.62,538.62,538.62,1,INR,83196.15,154.4608,2210,2210,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",खुदाई द्वारा मिट्टी का विकास,8b992a7a63a1
DXME-MEVO-KAME_KAKALI,"पोर्टेबल स्क्रू कंप्रेसर, आंतरिक दहन इंजन के साथ, दबाव 0.7 एमपीए (7 एटम) तक, उत्पादन 5.4 मी³/मिनट तक।",Equipment,General,मशीन-च,351.92,351.92,351.92,351.92,1,INR,10672.56,30.3838,2133,2133,निर्माण कार्य,भूमि कार्य,"अन्य प्रकार के खुदाई कार्य, तैयारी, सहायक और सुदृढीकरण कार्य",मिट्टी को संकुचित करना,9d2a39270657
RI_MEKAKA_KATO,कार्यकर्ता 3 श्रेणी,Labor,Labor,च,506.69,506.69,506.69,506.69,1,INR,42603.17,84.0812,2130,2130,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",जल संसाधन निर्माण में मिट्टी का विकास और जल निकासी की स्थापना,7bd85de7c0ca
MEPU-PU-KARI-KAPU_KAMEPURI,"तेल रंग MA-0115, ममी, लोहे का सुरिक",Material,General,किलोग्राम,109.28,109.28,109.28,109.28,1,INR,259.5,2.3889,2013,2013,निर्माण कार्य,भूमि कार्य,"अन्य प्रकार के खुदाई कार्य, तैयारी, सहायक और सुदृढीकरण कार्य",जल स्तर में कमी,82a54721b11e
ME_MEKAKA_TODX,कार्यकर्ता की श्रेणी 3,Labor,Labor,च,564.17,564.17,564.17,564.17,1,INR,262372.83,465.0566,1933,1933,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",हाइड्रोमैकेनाइजेशन विधि द्वारा मिट्टी का विकास,d2029e3467b0
KAME-LI-RIKA-KAVO_KAKASAME,रंगीन कपास की चीर,Material,General,किलोग्राम,79.79,79.79,79.79,79.79,1,INR,107.67,1.468,1881,1881,निर्माण कार्य,भूमि कार्य,"अन्य प्रकार के खुदाई कार्य, तैयारी, सहायक और सुदृढीकरण कार्य",भूमि संरचनाओं के ढलानों को मजबूत करना,caf9e7ccf92c
ME_MEKAKA_SAKA,कार्यकर्ता की श्रेणी 5,Labor,Labor,च,655.71,655.71,655.71,655.71,1,INR,162972.2,248.542,1829,1829,निर्माण कार्य,भूमि कार्य,"अन्य प्रकार के खुदाई कार्य, तैयारी, सहायक और सुदृढीकरण कार्य",स्थायी रूप से जमी हुई और चट्टानी मिट्टी का विकास,1b477b70619d
ME_MEKAKA_PURI,कार्यकर्ता की श्रेणी 4,Labor,Labor,च,587.59,587.59,587.59,587.59,1,INR,308609.33,525.2102,1798,1798,निर्माण कार्य,खनन और ढलाई कार्य,एकल-बकेट एक्स्केवेटर द्वारा मिट्टी का विकास,बुलडोजर अवशेष निर्माण,231b6db84e95
DXME-KANE-KANE_KAPUVO,"एकल स्तंभ लिफ्ट, भार क्षमता 500 किलोग्राम तक, उठाने की ऊँचाई 45 मीटर।",Equipment,General,मशीन-च,50.38,50.38,50.38,50.38,1,INR,42.74,0.8595,1750,1750,निर्माण कार्य,ठोस और प्री-कास्ट कंक्रीट संरचनाएं,अन्य कार्य,कंक्रीट की सतह का टॉरक्रीटिंग,00f027bb0e15
ME_MEKAKA_TONE,कार्यकर्ता की श्रेणी 3,Labor,Labor,च,545.01,545.01,545.01,545.01,1,INR,166021.85,304.62,1726,1726,निर्माण कार्य,भूमि कार्य,"अन्य प्रकार के खुदाई कार्य, तैयारी, सहायक और सुदृढीकरण कार्य",स्थायी रूप से जमी हुई और चट्टानी मिट्टी का विकास,a63de3554b68
RISA-ME-KAME-KAPU_KAKATOME,"बिना प्रपित लकड़ी की लकड़ी की रेल, चौड़ी गेज रेलवे के लिए, प्रकार I",Material,General,"sht का हिंदी में अनुवाद ""sht"" है।",2062.04,2062.04,2062.04,2062.04,1,INR,17914.88,8.688,1707,1707,निर्माण कार्य,पुल और पाइप,विभिन्न कार्य,गेबियन संरचनाओं का निर्माण,ba28ed266dd2
DXME-KANE-KATO_KANERI,"इलेक्ट्रिक विंच, खींचने की ताकत 31.39 किलोन्यूटन (3.2 टन)",Equipment,General,मशीन-च,17.42,17.42,17.42,17.42,1,INR,466.86,26.803,1694,1694,निर्माण कार्य,"पाइल कार्य, गहरे कुएं, मिट्टी को स्थिर करना",मिट्टियों का स्थिरीकरण,मिट्टी का सीमेंटेशन,2652e36c26b4
DXME-KANE-KATO_KANERI,बिजली: खपत 0.39 कVt·घंटा/मशीन-घंटा,Electricity,Electricity,मशीन-च,1.72,1.72,1.72,1.72,1,INR,46.07,26.803,1694,1694,निर्माण कार्य,"पाइल कार्य, गहरे कुएं, मिट्टी को स्थिर करना",मिट्टियों का स्थिरीकरण,मिट्टी का सीमेंटेशन,13f84ffd84cb
PU_MEKAKA_KADXKA,कर्मचारी: 1 व्यक्ति-घंटा/मशीन-घंटा,Operator,Operators,मशीन-च,499.35,494.86,989.71,494.86,2,INR,21213.72,42.8438,1652,1568,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",मिट्टी का विकास स्क्रेपर्स द्वारा,204978c95ffc
KAME-LI-KADX-KARI_KAKATOME,जलरोधक शॉर्ट-डिले इलेक्ट्रोडेटोनेटर ED-KZ,Material,General,1000 पीस,166467.79,166467.79,166467.79,166467.79,1,INR,26815.41,0.1731,1647,1647,निर्माण कार्य,ड्रिलिंग और विस्फोट कार्य,चट्टानी मिट्टियों का विघटन छिद्रित विस्फोटकों द्वारा,चट्टानी मिट्टी के ग्राउंड को 0.5 मीटर की ऊँचाई तक के खंडों में स्पुर चार्ज के सा,eafe90b9886c
KAME-LI-MEME-KAPU_KAKASARI,"सुवर्ण तार वेल्डिंग बिना कोटिंग के एसवी-08जी2सी, व्यास 2 मिमी",Material,General,किलोग्राम,96.76,96.76,96.76,96.76,1,INR,1270.19,13.5551,1616,1616,निर्माण कार्य,"पाइल कार्य, गहरे कुएं, मिट्टी को स्थिर करना",मिट्टियों का स्थिरीकरण,गीली मिट्टी के मिश्रण के तहत खाई का निर्माण,50dbe806f902
ME_MEKAKA_TOLI,कार्यकर्ता की श्रेणी 3,Labor,Labor,च,551.39,551.39,551.39,551.39,1,INR,128954.72,233.8704,1611,1611,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",हाइड्रोमैकेनाइजेशन विधि द्वारा मिट्टी का विकास,2487975bfc64
DXME-KANE-KATO_KANEKA,"इलेक्ट्रिक विंच, खींचने की ताकत 5.79 कएन (0.59 टन)",Equipment,General,मशीन-च,8.58,8.58,8.58,8.58,1,INR,18.84,2.1957,1598,1598,निर्माण कार्य,निर्माण धातु संरचनाएं,संरचनाएँ,"बंकर, साइलो, डीकंपोजर, गाढ़ा करने वाले",e6db2d8979cf
KAPU-ME-KARI-KASA,भारी कंक्रीट के मिश्रण,Abstract Material,General,घन मीटर,4670.49,4670.49,4670.49,4670.49,1,INR,237723.5,50.899,1589,1589,निर्माण कार्य,भूमि कार्य,"अन्य प्रकार के खुदाई कार्य, तैयारी, सहायक और सुदृढीकरण कार्य",मिट्टी को संकुचित करना,fac007e8c4da
TO_RIKAKA_KAME,इंजीनियर I श्रेणी,Labor,Labor,चेल.-च,915.45,915.45,915.45,915.45,1,INR,123936.23,135.3824,1536,1536,प्रारंभिक कार्य,विद्युत तकनीकी उपकरण,समकालिक जनरेटर और उत्तेजक,जनरेटर,9dd603846d96
PU_MEKAKA_KAVOKA,कर्मचारी: 2 व्यक्ति-घंटा-यांत्रिक-घंटा,Operator,Operators,मशीन-च,579.25,463.22,2779.33,463.22,4,INR,20379.99,29.544,1525,1405,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",खुदाई द्वारा मिट्टी का विकास और ट्रक-डंपरों में लोडिंग,24e244900ac8
ME_MEKAKA_TOME,कार्यकर्ता की श्रेणी 3,Labor,Labor,च,513.08,513.08,513.08,513.08,1,INR,99083.84,193.1154,1517,1517,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",जल संसाधन निर्माण में मिट्टी का विकास और जल निकासी की स्थापना,4ab8e0fc438c
DXME-MEPU-KASA_KAMERI,"सामान्य प्रयोजन के लिए सेमी-ट्रेलर, लोड क्षमता 15 टन तक",Equipment,General,मशीन-च,146.56,146.56,146.56,146.56,1,INR,310.2,2.1166,1515,1515,निर्माण कार्य,कुएं,कुएं की खुदाई,अन्य प्रकार की ड्रिलिंग,b23057b72413
TO_RIKAKA_KARI,इंजीनियर II श्रेणी,Labor,Labor,चेल.-च,834.55,834.55,834.55,834.55,1,INR,87976.87,105.4181,1512,1512,प्रारंभिक कार्य,विद्युत तकनीकी उपकरण,समकालिक जनरेटर और उत्तेजक,उत्तेजना प्रणालियाँ,f06b9288f435
ME_MEKAKA_PUME,कार्यकर्ता की श्रेणी 4,Labor,Labor,च,579.08,579.08,579.08,579.08,1,INR,344938.47,595.6684,1507,1507,निर्माण कार्य,ड्रिलिंग और विस्फोट कार्य,"चट्टानी मिट्टियों का विघटन कक्षीय विस्फोटकों द्वारा, मिट्टियों का सामूहिक विस्फो",80% परियोजना के खुदाई के मात्रा के विस्फोट और गिरावट के लिए कक्षीय चार्जों से मि,615eaadf1d98
KALI-RI-KALI-MERI_KAKAKAME,"सहायक धातु संरचनाएँ मोटे स्टील या प्रोफाइल्ड स्टील के साथ, छिद्रों के साथ और बिना",Material,General,ट,134546.32,134546.32,134546.32,134546.32,1,INR,46274.98,0.4245,1498,1498,निर्माण कार्य,"पाइल कार्य, गहरे कुएं, मिट्टी को स्थिर करना",पाइल कार्य,ज़मीन से किए जाने वाले पाइल कार्य,825713c10d0a
DXME-MEKA-KAME_KAKARI,"भरने और दबाने वाले उपकरण, 300 म3/घंटा तक की आपूर्ति",Equipment,General,मशीन-च,2911.45,2911.45,2911.45,2911.45,1,INR,35555.74,12.2124,1439,1439,निर्माण कार्य,निर्माण धातु संरचनाएं,संरचनाएँ,"रिजर्वॉयर, गैसगोल्डर",ad0705725069
DXME-KANE-KATO_KASASA,इलेक्ट्रिक विंच 19.62 किलोन्यूटन (2 टन) की खींचने की ताकत के साथ।,Equipment,General,मशीन-च,14.84,14.84,14.84,14.84,1,INR,590.31,39.7806,1428,1428,निर्माण कार्य,भूमि कार्य,"अन्य प्रकार के खुदाई कार्य, तैयारी, सहायक और सुदृढीकरण कार्य",स्थायी रूप से जमी हुई और चट्टानी मिट्टी का विकास,7f3101c00dd1
DXME-KANE-KATO_KASASA,बिजली: खपत 0.39 कVt·घंटा/मशीन-घंटा,Electricity,Electricity,मशीन-च,1.72,1.72,1.72,1.72,1,INR,68.38,39.7806,1428,1428,निर्माण कार्य,भूमि कार्य,"अन्य प्रकार के खुदाई कार्य, तैयारी, सहायक और सुदृढीकरण कार्य",स्थायी रूप से जमी हुई और चट्टानी मिट्टी का विकास,c83dd4548572
ME_MEKAKA_TORI,कार्यकर्ता की श्रेणी 3,Labor,Labor,च,519.46,519.46,519.46,519.46,1,INR,83596.65,160.9293,1420,1420,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",हाइड्रोमैकेनाइजेशन विधि द्वारा मिट्टी का विकास,c56f9e903a57
RI_MEKAKA_KANE,कार्यकर्ता 6 श्रेणी का,Labor,Labor,च,766.42,766.42,766.42,766.42,1,INR,64611.74,84.3031,1405,1405,निर्माण कार्य,भूमि कार्य,"अन्य प्रकार के खुदाई कार्य, तैयारी, सहायक और सुदृढीकरण कार्य",पौधों की कटाई और क्षेत्रों तथा मार्गों की सफाई से संबंधित तैयारी कार्य,383b56ddba99
MEME-ME-KARI-KAPU_KAKATOME,"गोल लकड़ी के सामग्री, अनकोर, लंबाई 3-6.5 मीटर, व्यास 14-24 सेंटीमीटर, ग्रेड II-III",Material,General,घन मीटर,6319.66,6319.66,6319.66,6319.66,1,INR,30301.58,4.9251,1405,1405,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",गैस और तेल उत्पादों के लिए मुख्य और औद्योगिक पाइपलाइनों के लिए खाई खोदना और भरना,a58ddf62d704
